strain	county	state
1465-T72441	Spokane	WA
1470-W54946	King	WA
1471-W55071	King	WA
1473-W53170	Chelan	WA
1486-W56209	Unknown	Unknown
1501-H69790	King	WA
154-X61193	King	WA
1552-H71173	King	WA
1567-F81337	Snohomish	WA
1570-H71486	King	WA
1574-H71466	King	WA
1575-H72823	King	WA
1578-H71453	King	WA
1581-F81377	Skagit	WA
1583-F81375	Yakima	WA
1587-H71054	King	WA
1588-H70462	King	WA
1593-F81356	Snohomish	WA
1595-H71487	King	WA
1597-F81292	Yakima	WA
1617-F81701	Whatcom	WA
1620-F81438	Skagit	WA
1631-F86494	King	WA
1632-H72989	Pierce	WA
1646-F84824	King	WA
1651-F88424	King	WA
1666-F87194	King	WA
1670-S13630	King	WA
1672-F87780	King	WA
1675-F85970	King	WA
1677-S13790	Snohomish	WA
1680-S13848	Skagit	WA
1682-S14018	Yakima	WA
1683-F86487	King	WA
1684-S13991	Whatcom	WA
1688-F86732	Snohomish	WA
1689-H73207	Snohomish	WA
1690-S13977	Whatcom	WA
1697-F88748	King	WA
1698-F88552	King	WA
1700-S15596	Snohomish	WA
1705-S16707	King	WA
1706-S16827	King	WA
1708-S17775	King	WA
1715-H73261	Pierce	WA
1716-F88965	King	WA
1724-S17235	King	WA
1729-S14649	King	WA
1730-S18381	King	WA
1731-S17738	King	WA
1733-S18277	King	WA
1739-S18300	King	WA
1741-S18317	Skagit	WA
1744-S16182	King	WA
1745-S16183	King	WA
1748-S14734	King	WA
1750-S18363	Yakima	WA
1758-X72114	Skagit	WA
1766-W89128	King	WA
1768-W88977	King	WA
1770-X71878	King	WA
1772-S18174	King	WA
1773-X72962	no container ID	no container ID
1774-X72951	King	WA
1778-X73518	Snohomish	WA
1782-X74410	King	WA
1791-F89148	Unknown	Unknown
1792-S18500	Chelan	WA
1797-X73626	King	WA
1799-X74690	Skagit	WA
1801-M67814	King	WA
1805-X74967	King	WA
1806-X75162	King	WA
1812-X74892	King	WA
1816-X75894	Unknown	Unknown
1817-X75879	Unknown	Unknown
1818-X75848	Unknown	Unknown
1821-X76054	Pierce	WA
1822-X76068	Pierce	WA
1824-X76053	Pierce	WA
1825-X75995	Pierce	WA
1826-X76000	Pierce	WA
1827-X75979	Pierce	WA
1828-X75954	Pierce	WA
