strain,date,state,county,country
23511-T1056606,8/11/2020,WA,Chelan,USA
23526-L1061816,8/10/2020,WA,King,USA
23530-M1060095,8/10/2020,WA,Pierce,USA
23531-W1065195,8/12/2020,WA,Chelan,USA
23533-W1065192,8/12/2020,WA,Chelan,USA
23538-W1065405,8/12/2020,WA,Chelan,USA
23549-W1064623,8/10/2020,OR,Deschutes,USA
23555-T1051618,8/11/2020,WA,Okanogan,USA
23556-T1052248,8/11/2020,WA,Okanogan,USA
23562-L1063423,8/10/2020,WA,King,USA
23564-L1066414,8/11/2020,WA,King,USA
23566-L1065869,8/11/2020,WA,King,USA
23571-L1062965,8/10/2020,WA,King,USA
23576-M1059751,8/10/2020,WA,Pierce,USA
23579-T1051693,8/11/2020,WA,King,USA
23582-M1059931,8/10/2020,WA,Pierce,USA
23594-T1059240,8/11/2020,WA,Jefferson,USA
23596-L1067608,8/11/2020,WA,King,USA
23597-M1059853,8/10/2020,WA,Pierce,USA
23600-T1051911,8/11/2020,WA,King,USA
