strain,date,state,county,country
20236-S1015379,7/25/2020,WA,Chelan,USA
20238-F1029954,7/24/2020,WA,Pierce,USA
20242-S1015212,7/25/2020,WA,King,USA
20245-H1030879,7/23/2020,WA,Pierce,USA
20246-H1030742,7/23/2020,WA,Pierce,USA
2029-T78757,3/24/2020,WA,King,USA
2032-M76554,3/23/2020,WA,Spokane,USA
2034-T82508,3/24/2020,WA,King,USA
2036-M76553,3/23/2020,WA,Spokane,USA
20397-W1037747,7/28/2020,WA,Adams,USA
20400-H1033572,7/29/2020,WA,King,USA
2041-T82574,3/22/2020,ID,Ada,USA
2045-T81655,3/24/2020,WA,Snohomish,USA
2047-T82490,3/22/2020,ID,Ada,USA
2053-T79859,3/24/2020,WA,King,USA
2059-T82511,3/24/2020,WA,King,USA
2062-T82659,3/20/2020,WA,Whatcom,USA
2066-W60000,3/25/2020,WA,King,USA
2071-W59782,3/24/2020,WA,Whatcom,USA
2072-W59592,3/24/2020,WA,Whatcom,USA
2074-W60367,3/25/2020,WA,King,USA
2076-W60700,3/25/2020,WA,King,USA
2082-T80057,3/25/2020,WA,King,USA
2086-W61119,3/25/2020,WA,King,USA
2087-W60213,3/25/2020,WA,King,USA
2091-M73728,3/24/2020,WA,King,USA
2099-H23124,4/16/2020,no container ID,no container ID,USA
2104-W61715,3/24/2020,WA,Kitsap,USA
2108-W61142,3/24/2020,WA,Pierce,USA
2109-W62959,3/25/2020,WA,King,USA
2115-W61410,3/25/2020,WA,King,USA
2119-W60973,3/25/2020,WA,King,USA
2129-W63124,3/25/2020,WA,King,USA
2131-T80184,3/25/2020,WA,King,USA
21398-L1047125,8/4/2020,WA,King,USA
21404-L1047383,8/4/2020,WA,King,USA
21405-M1043547,8/3/2020,WA,Spokane,USA
21409-T1038509,8/4/2020,WA,Chelan,USA
2145-W65115,3/25/2020,WA,Skagit,USA
21457-L1047857,8/4/2020,WA,King,USA
2146-W65244,3/25/2020,WA,Skagit,USA
21461-W1051043,8/5/2020,WA,Kitsap,USA
21547-T1037793,8/4/2020,WA,King,USA
21551-T1037155,8/4/2020,WA,King,USA
21554-L1045169,8/3/2020,WA,King,USA
21562-L1046310,8/3/2020,WA,King,USA
21576-L1045826,8/3/2020,WA,King,USA
2159-W66081,3/23/2020,ID,Ada,USA
21591-T1041821,8/4/2020,WA,Chelan,USA
21596-T1039184,8/4/2020,WA,Chelan,USA
21599-T1043924,8/4/2020,WA,Pierce,USA
2160-W65325,3/23/2020,ID,Ada,USA
21600-T1043926,8/4/2020,WA,Pierce,USA
21608-T1038311,8/4/2020,WA,Okanogan,USA
21628-T1045197,8/4/2020,WA,Pierce,USA
21644-W1052650,8/5/2020,WA,King,USA
21654-L1045093,8/3/2020,WA,King,USA
21658-M1038093,8/3/2020,WA,Chelan,USA
21659-M1037957,8/3/2020,WA,Chelan,USA
21660-M1041092,8/3/2020,WA,Chelan,USA
21667-M1038014,8/3/2020,WA,Spokane,USA
21673-M1037607,8/3/2020,WA,Chelan,USA
2169-M76455,3/23/2020,WA,Pierce,USA
21695-M1037936,8/3/2020,WA,Chelan,USA
21707-M1037997,8/3/2020,WA,Chelan,USA
21710-W1046025,8/5/2020,WA,King,USA
21712-W1047502,8/5/2020,WA,Chelan,USA
21717-W1054081,8/5/2020,WA,Pierce,USA
21720-W1054485,8/5/2020,WA,Pierce,USA
21721-H1051197,8/6/2020,WA,Pierce,USA
21723-W1054200,8/5/2020,WA,Pierce,USA
21726-W1054092,8/5/2020,WA,Pierce,USA
21727-W1053939,8/5/2020,WA,Pierce,USA
21728-H1050469,8/6/2020,WA,Pierce,USA
21732-W1054236,8/5/2020,WA,Pierce,USA
21734-W1054016,8/5/2020,WA,Pierce,USA
21735-W1053984,8/5/2020,WA,Pierce,USA
21736-W1054009,8/5/2020,WA,Pierce,USA
2174-W65738,3/23/2020,ID,Ada,USA
21742-W1054239,8/5/2020,WA,Pierce,USA
21746-W1053526,8/4/2020,WA,King,USA
21747-T1045438,8/4/2020,WA,Spokane,USA
21752-W1050358,8/5/2020,WA,Spokane,USA
21753-W1050308,8/5/2020,WA,Spokane,USA
21754-W1054444,8/5/2020,WA,King,USA
21755-W1053779,8/1/2020,ID,Bonneville,USA
21756-T1045445,8/4/2020,WA,Spokane,USA
21757-W1053513,8/4/2020,WA,King,USA
21759-W1053537,8/4/2020,WA,King,USA
2176-T83261,3/24/2020,WA,Pierce,USA
21760-H1049829,8/4/2020,OR,Deschutes,USA
21764-W1052777,8/4/2020,WA,King,USA
21771-W1052583,8/4/2020,WA,King,USA
21784-W1048960,8/5/2020,WA,Chelan,USA
21785-W1043573,8/5/2020,WA,Okanogan,USA
21786-W1046118,8/5/2020,WA,Okanogan,USA
21789-F1053822,8/5/2020,WA,King,USA
2179-T83055,3/24/2020,WA,Pierce,USA
2191-H74854,3/25/2020,WA,King,USA
2192-W62923,3/25/2020,WA,King,USA
2193-T83283,3/24/2020,WA,Pierce,USA
21960-H1056901,8/6/2020,WA,Spokane,USA
21961-L1053464,8/6/2020,WA,King,USA
21969-F1056290,8/6/2020,WA,King,USA
21978-L1053015,8/6/2020,WA,King,USA
2198-W65614,3/24/2020,ID,Ada,USA
21981-L1051983,8/6/2020,WA,King,USA
21982-L1053404,8/6/2020,WA,King,USA
21985-H1056915,8/6/2020,WA,Spokane,USA
21986-H1057311,8/6/2020,WA,Spokane,USA
21987-L1053489,8/6/2020,WA,King,USA
21988-F1053912,8/6/2020,WA,King,USA
21990-H1054045,8/6/2020,WA,Chelan,USA
21992-H1053953,8/6/2020,WA,Chelan,USA
21995-H1056862,8/6/2020,WA,Chelan,USA
21998-F1056269,8/5/2020,WA,King,USA
22003-F1055556,8/5/2020,WA,King,USA
22009-L1053672,8/6/2020,WA,King,USA
22016-L1052311,8/6/2020,WA,King,USA
22017-L1054046,8/6/2020,WA,King,USA
22020-L1053804,8/6/2020,WA,King,USA
22027-L1054000,8/6/2020,WA,King,USA
22028-L1053423,8/6/2020,WA,King,USA
2203-H74688,3/25/2020,WA,King,USA
22038-M1040658,8/3/2020,WA,Chelan,USA
22039-M1042467,8/3/2020,WA,Pierce,USA
22048-M1043147,8/3/2020,WA,Pierce,USA
22051-M1043183,8/3/2020,WA,Pierce,USA
22056-M1040612,8/3/2020,WA,Chelan,USA
22057-M1041054,8/3/2020,WA,Chelan,USA
22060-M1041050,8/3/2020,WA,Chelan,USA
